"user";"revenue";"units";"ls.date";"tsls";"rating";"ttp";"total.sessions";"completed";"completed.post";"win.rate";"tries";"device";"tbs";"tsad"
2882;"NULL";"NULL";"2015-05-25";"243233";1;2065;3;"0.4";"0.4";"0.916666666667";"12.0";"ipad";"72290.5";245330
8537;"NULL";"NULL";"2015-05-27";"18878";0;700;3;"0.266666666667";"0.266666666667";"0.666666666667";"9.0";"iphone";"1661.5";19841
2200;"NULL";"NULL";"NULL";"NULL";-1;0;1;"0.133333333333";"0.133333333333";"NULL";"NULL";"iphone";"NULL";89351
4419;"NULL";"NULL";"2015-05-25";"190779";0;540;3;"0.222222222222";"0.222222222222";"0.428571428571";"7.0";"iphone";"57131.5";215204
3117;"NULL";"NULL";"2015-05-25";"186106";-1;77;3;"0.133333333333";"0.133333333333";"1.0";"1.0";"iphone";"128.5";186327
4842;"NULL";"NULL";"2015-05-27";"38434";0;6601;4;"0.333333333333";"0.4";"0.777777777778";"9.0";"ipad";"25748.3333333";118921
9321;"NULL";"NULL";"2015-05-27";"16174";0;8815;25;"0.666666666667";"0.822222222222";"0.65625";"32.0";"iphone";"8407.66666667";218180
2105;"NULL";"NULL";"2015-05-27";"77969";0;3220;5;"0.4";"0.4";"0.8";"15.0";"ipad";"3801.0";93182
7693;"NULL";"NULL";"NULL";"NULL";-1;0;1;"0.133333333333";"0.133333333333";"1.0";"1.0";"iphone";"NULL";282
8991;"NULL";"NULL";"NULL";"NULL";-1;0;1;"0.177777777778";"0.177777777778";"0.5";"2.0";"ipad";"NULL";205289
5203;"NULL";"NULL";"2015-05-27";"5568";-1;112;1;"0.133333333333";"0.666666666667";"1.0";"1.0";"iphone";"NULL";5681
4851;"NULL";"NULL";"2015-05-27";"51330";0;2132;5;"0.288888888889";"0.444444444444";"0.296296296296";"27.0";"ipad";"16267.0";117418
7827;"NULL";"NULL";"2015-05-27";"4171";0;13395;18;"1.11111111111";"1.11111111111";"0.522222222222";"90.0";"iphone";"6863.35294118";151053
2966;"NULL";"NULL";"NULL";"NULL";-1;0;1;"0.155555555556";"0.155555555556";"0.5";"4.0";"iphone";"NULL";180436
9738;"NULL";"NULL";"2015-05-27";"24680";0;1356;6;"0.333333333333";"0.444444444444";"0.777777777778";"9.0";"iphone";"13596.6";92909
7383;"NULL";"NULL";"NULL";"NULL";-1;0;1;"0.133333333333";"0.133333333333";"1.0";"1.0";"ipad";"NULL";181401
5636;"NULL";"NULL";"2015-05-27";"20867";0;3855;4;"0.444444444444";"0.444444444444";"0.6";"25.0";"ipad";"25362.3333333";96382
8364;"NULL";"NULL";"NULL";"NULL";-1;0;1;"NULL";"NULL";"NULL";"NULL";"ipod";"NULL";202575
8108;"NULL";"NULL";"2015-05-26";"104974";0;2024;11;"0.333333333333";"0.333333333333";"0.533333333333";"15.0";"iphone";"11293.5";231017
4206;"NULL";"NULL";"2015-05-27";"44178";-1;105;1;"0.133333333333";"0.133333333333";"1.0";"1.0";"iphone";"NULL";44284
8117;"NULL";"NULL";"NULL";"NULL";0;0;1;"0.2";"0.2";"1.0";"4.0";"ipad";"NULL";25700
5146;"NULL";"NULL";"2015-05-27";"23832";0;1335;2;"0.333333333333";"0.333333333333";"0.7";"10.0";"iphone";"4986.0";29036
6952;"NULL";"NULL";"NULL";"NULL";0;0;1;"0.177777777778";"0.177777777778";"0.666666666667";"3.0";"ipad";"NULL";113177
4473;"NULL";"NULL";"2015-05-25";"258713";-1;2;2;"0.133333333333";"0.133333333333";"NULL";"NULL";"ipad";"21.0";258716
3933;"NULL";"NULL";"2015-05-27";"58497";0;1232;2;"0.288888888889";"0.288888888889";"0.368421052632";"19.0";"iphone";"1251.0";59730
6082;"NULL";"NULL";"2015-05-27";"54925";0;3913;5;"0.444444444444";"0.444444444444";"0.391304347826";"23.0";"iphone";"12606.0";105449
7908;"NULL";"NULL";"2015-05-26";"159550";0;2718;3;"0.444444444444";"0.444444444444";"1.0";"12.0";"ipad";"76742.5";248367
909;"NULL";"NULL";"2015-05-27";"40616";-1;105;2;"0.133333333333";"0.133333333333";"1.0";"1.0";"ipad";"118.0";40722
